name,source,gender,wikidata,type
"Alice Nahonstraat",wikidata,F,Q2288294,way
"Amelia Briersstraat",wikidata,F,Q121027874,way
"Ann Christystraat",wikidata,F,Q246041,way
"Ann Salenspad",wikidata,F,Q14943175,way
"Anna Bijnsstraat",wikidata,F,Q272497,way
Beatrijslaan,wikidata,F,Q454198,way
"Catharina Beersmansstraat",wikidata,F,Q88387564,way
"Charlotta Finckstraat",wikidata,F,Q101228264,way
Charlottalei,wikidata,F,Q154971,way
Clementinastraat,wikidata,F,Q261129,way
Curiestraat,wikidata,F,Q7186,way
"Edith Kielpad",wikidata,F,Q782565,way
Elisabethlaan,wikidata,F,Q150782;Q235186,way
Fourmentstraat,wikidata,F,Q1965732,way
Hertoginstraat,wikidata,F,Q234047,way
"Hilda Ramstraat",wikidata,F,Q2418894,way
"Isabella Brantstraat",wikidata,F,Q2215964,way
Isabellalei,wikidata,F,Q158256,way
"Jeanne Brabantstunnel",wikidata,F,Q606327,way
"Jos Brabantstunnel",wikidata,F,Q52480304,way
"Josée Nicolastraat",wikidata,F,Q2275512,way
"Koningin Astridlaan",wikidata,F,Q230238,way
"Koningin Astridplein",wikidata,F,Q230238,relation+way
"Koningin Elisabethlei",wikidata,F,Q235186,way
"Koningin Elisabethstraat",wikidata,F,Q235186,way
"Korte Sint-Annastraat",wikidata,F,Q164294,way
"La Esterellastraat",wikidata,F,Q436701,way
"Lange Sint-Annastraat",wikidata,F,Q164294,way
"Leen Van Marckestraat",wikidata,F,Q41799495,way
"Liane Bruylantslaan",wikidata,F,Q2079482,way
Louiza-Marialei,wikidata,F,Q72795,way
Louizastraat,wikidata,F,Q72795,way
Lovelingstraat,wikidata,F,Q684376,way
Magdalenastraat,wikidata,F,Q63070,way
"Margriet Baersstraat",wikidata,F,Q50353187,way
"Maria Pijpelincxstraat",wikidata,F,Q2355955,way
"Maria Telkesstraat",wikidata,F,Q7415,way
"Maria Van Sinaplein",wikidata,F,Q14832305,relation
Maria-Henriettalei,wikidata,F,Q234047,way
Maria-Henriëttalei,wikidata,F,Q234047,way
Maria-Theresialei,csv+wikidata,F,Q131706,way
Marialei,wikidata,F,Q345,way
Marie-Josélaan,wikidata,F,Q72919,way
"Marleen Van Ouytselstraat",wikidata,F,Q22443103,way
"Mathilde Schroyensstraat",wikidata,F,Q15996,way
"Mevrouw Courtmansstraat",wikidata,F,Q1961560,way
"Moeder SAROV-straat",wikidata,F,Q45202444,way
"Neel Dofflaan",wikidata,F,Q464167,way
"Nicole Van Goethempad",wikidata,F,Q4322238,way
Onze-Lieve-Vrouwstraat,wikidata,F,Q345,way
"Prinses Astridlaan",wikidata,F,Q230238,relation
"Prinses Joséphine Charlottelaan",wikidata,F,Q160984,way
"Regine Beerplein",wikidata,F,Q2736161,way
"Rose Grononstraat",wikidata,F,Q2303542,way
Sint-Aldegondiskaai,wikidata,F,Q271330,way
Sint-Annastrand,wikidata,F,Q164294,way
Sint-Annatunnel,wikidata,F,Q164294,way
Sint-Catharinasteeg,wikidata,F,Q179718,way
Sint-Elisabethstraat,wikidata,F,Q159862,way
Sint-Lutgardisstraat,wikidata,F,Q291708,way
Sint-Theresiastraat,wikidata,F,Q181715,way
Stefaniestraat,wikidata,F,Q170197,way
"Zaha Hadidplein",wikidata,F,Q47780,relation
Zillionpad,wikidata,F,Q14943175,way
"Abraham Verhoevenlaan",wikidata,M,Q2332042,way
"Admiraal de Boisotstraat",wikidata,M,Q358905,way
"Adolf Greinerstraat",wikidata,M,Q56258042,way
"Adolphe Meurissestraat",wikidata,M,Q16011498,way
"Adriaan Brouwerstraat",wikidata,M,Q364139,way
"Aernout en Willemlaan",wikidata,M,Q1968124,way
"Albert Claudestraat",wikidata,M,Q233943,way
"Albert Grisarstraat",wikidata,M,Q2003880,way
"Albert Meulemansstraat",wikidata,M,Q3290165,way
Albertstraat,wikidata,M,Q311452,way
"Albrecht Dürerstraat",wikidata,M,Q5580,way
"Albrecht Rodenbachstraat",wikidata,M,Q2497011,way
"Alexander Farneseplein",wikidata,M,Q312903,way
"Alfons De Cockstraat",wikidata,M,Q2100582,way
"Alfons Engelsstraat",wikidata,M,Q115822703,way
"Alfons Jeurissenstraat",wikidata,M,Q1973820,way
"Alfons Schneiderlaan",wikidata,M,Q104471652,way
"Alfred Coolsstraat",wikidata,M,Q11292079,way
"Alfred Oststraat",wikidata,M,Q2062015,way
"Aloïs De Laetstraat",wikidata,M,Q3260427,way
"Amand De Lattinlaan",wikidata,M,Q42196513,way
"André Delvauxpad",wikidata,M,Q518295,way
Anselmostraat,wikidata,M,Q54860717,way
"Anton Van Duinkerkenstraat",wikidata,M,Q447108,way
"Antoon Marstboomstraat",wikidata,M,Q16467381,way
"Antoon van Dyckstraat",wikidata,M,Q150679,way
Appelmansstraat,wikidata,M,Q2018514,way
"Arthur Sterckstraat",wikidata,M,Q65966502,way
"August Leyweg",wikidata,M,Q17621654,way
"August Michielsstraat",wikidata,M,Q893319,way
"August Sniedersstraat",wikidata,M,Q2192202,way
"August Van Cauwelaertlaan",wikidata,M,Q2287312,way
"August Van de Wielelei",wikidata,M,Q96654538,way
"August Vermeylenlaan",wikidata,M,Q764378,way
"Baron Dhanislaan",wikidata,M,Q2344129,way
"Baron Joostensstraat",wikidata,M,Q26838310,way
"Baron Sadoinestraat",wikidata,M,Q27942653,way
"Baron de Catersstraat",wikidata,M,Q2664454,way
"Bernard De Pooterstraat",wikidata,M,Q55768933,way
"Bert Verlacktstraat",wikidata,M,Q2292770,way
"Berten Fermontplein",wikidata,M,Q2322960,way
Bolivarplaats,wikidata,M,Q8605,way
Bolivartunnel,wikidata,M,Q8605,way
Boudewijnbrug,wikidata,M,Q12976,way
Boudewijnssteeg,wikidata,M,Q94688579,way
Boudewijnsstraat,wikidata,M,Q94688579,way
Boudewijnweg,wikidata,M,Q12976,way
Brederodestraat,wikidata,M,Q1349577,way
Breydelstraat,wikidata,M,Q1394408,way
Brialmontlei,wikidata,M,Q132142,way
"Burgemeester Gabriel Theunisbrug",wikidata,M,Q22811502,way
"Burgemeester Jozef Masurebrug",wikidata,M,Q22691550,way
"Busken Huetstraat",wikidata,M,Q1126746,way
"Camille Huysmanslaan",wikidata,M,Q14998,way
"Carel van Manderstraat",wikidata,M,Q206173,way
Carnotstraat,wikidata,M,Q310767,way
Cassiersstraat,wikidata,M,Q2804592,way
"Charles de Costerlaan",wikidata,M,Q315176,way
Cobdenstraat,wikidata,M,Q333072,way
Coebergerstraat,wikidata,M,Q513704,way
Columbusstraat,wikidata,M,Q7322,way
Consciencestraat,wikidata,M,Q378133,way
"Constant Permekestraat",wikidata,M,Q381911,way
"Constantijn Huygensstraat",wikidata,M,Q560746,way
"Constantin Meunierplein",wikidata,M,Q552440,way
Copernicuslaan,wikidata,M,Q619,way
Coquilhatstraat,wikidata,M,Q2105121,way
Corbletstraat,wikidata,M,Q12989701,way
"Cornelis Schutstraat",wikidata,M,Q592396,way
Cuperusstraat,wikidata,M,Q10336754,way
"Cyriel Buyssestraat",wikidata,M,Q628124,way
D'Herbouvillekaai,wikidata,M,Q2959484,way
"Daniël Herreynslaan",wikidata,M,Q56867440,way
"De Beuckerstraat",wikidata,M,Q41883286,way
"De Beukelaerlaan",wikidata,M,Q16217972,way
"De Braekeleerstraat",wikidata,M,Q474120,way
"De Burburestraat",wikidata,M,Q13749249,way
"De Burletlaan",wikidata,M,Q3387473,relation+way
"De Coninckplein",wikidata,M,Q1394020,relation+way
"De Damhouderestraat",wikidata,M,Q2167378,way
"De Gerlachekaai",wikidata,M,Q336591,way
"De Keyserhoeve",wikidata,M,Q569045,way
"De Keyserlei",wikidata,M,Q569045,relation+way
"De Vrièrestraat",wikidata,M,Q2652320,way
Desguinlei,wikidata,M,Q1984305,way
Dodoensstraat,wikidata,M,Q437466,way
"Dokter Romain De Velstraat",wikidata,M,Q20762623,way
"Dokter Van de Perrelei",wikidata,M,Q2658124,way
"Door Verstraeteplaats",wikidata,M,Q2537391,way
Duboisstraat,wikidata,M,Q121001577,way
Durletstraat,wikidata,M,Q1445389,way
Edelinckstraat,wikidata,M,Q893319,way
"Edgar Tinelstraat",wikidata,M,Q377071,way
Edisonlaan,wikidata,M,Q8743,way
"Edmond de Coussemakerstraat",wikidata,M,Q1240856,way
"Eduard Van Steenbergenlaan",wikidata,M,Q2140838,way
"Eduard van Benedenstraat",wikidata,M,Q55015815,way
"Edward Keurvelsstraat",wikidata,M,Q2750289,way
"Edward Pecherstraat",wikidata,M,Q2654541,way
Eliaertsstraat,wikidata,M,Q96654541,way
Ellermanstraat,wikidata,M,Q121001920,way
"Emiel Banningstraat",wikidata,M,Q863514,way
"Emiel Vloorsstraat",wikidata,M,Q2899780,way
"Emile Dancolaan",wikidata,M,Q3588445,way
"Emile Thielenspad",wikidata,M,Q45190929,way
"Emile Verhaerenlaan",wikidata,M,Q193680,way
"Emmanuel Rollierstraat",wikidata,M,Q2182146,way
"Eric Antonisstraat",wikidata,M,Q18655105,way
"Ernest Claesstraat",wikidata,M,Q1356304,way
"Ernest Van Dijckkaai",wikidata,M,Q3057199,way
"Eugeen Joorsstraat",wikidata,M,Q15875036,way
"Eugeen Laermansstraat",wikidata,M,Q598897,way
"Eugeen Van Mieghemstraat",wikidata,M,Q320235,way
"Evert Larockstraat",wikidata,M,Q2128932,way
"Ferdinand Coosemansstraat",wikidata,M,Q115807859,way
"Ferdinand Pauwelsstraat",wikidata,M,Q318547,way
"Ferdinand Verbieststraat",wikidata,M,Q378277,way
"Fietspad Jef Van Linden",wikidata,M,Q2604782,way
