name,source,gender,wikidata,type
Aalscholverlaan,wikidata,,Q25440,way
Aartselaarstraat,wikidata,,Q303246,way
Acacialaan,wikidata,,Q81666,relation+way
Amerikalei,wikidata,,Q30,way
Amethiststraat,wikidata,,Q79058,way
Amsterdamstraat,wikidata,,Q727,way
Apollostraat,wikidata,,Q37340,relation+way
Arendstraat,wikidata,,Q10586,way
Argentiniëlaan,wikidata,,Q414,way
"Artsen zonder Grenzenstraat",wikidata,,Q49330,way
"Asiadok Oostkaai",wikidata,,Q2191742,way
Asiadok-Oostkaai,wikidata,,Q2191742,way
Asiadok-Westkaai,wikidata,,Q2191742,way
Atomiumlaan,wikidata,,Q180901,way
Augustijnenstraat,wikidata,,Q214528,way
Bacchuslaan,wikidata,,Q645312,way
Baltimorestraat,wikidata,,Q5092,way
Beerschotstraat,wikidata,,Q646079,way
Belfaststraat,wikidata,,Q10686,way
Belgicaplein,wikidata,,Q815476,way
Belgiëlei,wikidata,,Q31,way
Berchemlei,wikidata,,Q818804,way
Berchemstadionstraat,wikidata,,Q3133850,way
Berkenlaan,wikidata,,Q25243,relation+way
Berlijnstraat,wikidata,,Q64,way
Bernstraat,wikidata,,Q70,way
Beukenlaan,wikidata,,Q146149,relation+way
Bijlstraat,wikidata,,Q39397,way
Bikschotelaan,wikidata,,Q2902622,relation+way
Bisschopstraat,wikidata,,Q29182,way
Blancefloerlaan,wikidata,,Q121320579,way
Boedapeststraat,wikidata,,Q1781,way
Boerenkrijgplein,wikidata,,Q568387,way
Bombaystraat,wikidata,,Q1156,way
Boomsesteenweg,wikidata,,Q723972,way
Bordeauxstraat,wikidata,,Q1479,way
Borgerhoutsestraat,wikidata,,Q834850,way
Borsbeeksesteenweg,wikidata,,Q724055,way
Borsbeekstraat,wikidata,,Q724055,way
Bostonstraat,wikidata,,Q100,way
Boterhamstraat,wikidata,,Q1018075,way
Braziliëstraat,wikidata,,Q155,way
Bredabaan,wikidata,,Q40844,way
Bredastraat,wikidata,,Q40844,way
Bremenstraat,wikidata,,Q24879,way
Bremstraat,wikidata,,Q145781,way
Bristolstraat,wikidata,,Q23154,way
Britselei,wikidata,,Q145,way
Brooklynstraat,wikidata,,Q18419,way
Brusselstraat,wikidata,,Q239,way
Buizerdlaan,wikidata,,Q25385,way
Cadixstraat,wikidata,,Q15682,way
Cameliastraat,wikidata,,Q212815,way
Campiniastraat,wikidata,,Q1078270,way
Canadalaan,wikidata,,Q16,way
Caravellestraat,wikidata,,Q2937915,way
Cardiffstraat,wikidata,,Q10690,way
Cederlaan,wikidata,,Q128550,relation+way
Chicagostraat,wikidata,,Q1297,way
Columbiastraat,wikidata,,Q739,way
Condorlaan,wikidata,,Q1211606,way
Congresstraat,wikidata,,Q2495862,way
Constitutiestraat,wikidata,,Q2226062,way
Conterscherp,wikidata,,Q545975,relation+way
Cuylitsstraat,wikidata,,Q66005601,way
Dambruggestraat,wikidata,,Q1955117,way
"De Merodelei",wikidata,,Q1568461,way
"De Villegasstraat",wikidata,,Q16034196,way
"De Waghemakerestraat",wikidata,,Q17628606,way
"Della Faillelaan",wikidata,,Q2234703,relation+way
Demerstraat,wikidata,,Q1185344,way
"Den Haaglaan",wikidata,,Q36600,way
Dendermondestraat,wikidata,,Q13122,way
Dennenlaan,wikidata,,Q12024,relation+way
Deurnestraat,wikidata,,Q1201672,way
Diamantstraat,wikidata,,Q5283,way
Dijlestraat,wikidata,,Q934226,way
Diksmuidelaan,wikidata,,Q215244,relation+way
Dinantstraat,wikidata,,Q108247,way
Dolfijnstraat,wikidata,,Q9302,way
Draakstraat,wikidata,,Q8675,way
Driekoningenstraat,wikidata,,Q132001,way
Dublinstraat,wikidata,,Q1761,way
Edegemsesteenweg,wikidata,,Q724238,relation+way
Edelgesteentenstraat,wikidata,,Q4990682,way
Edelvalklaan,wikidata,,Q33554,way
Eekhoornlaan,wikidata,,Q4388,relation+way
Eiderstraat,wikidata,,Q26696,way
Elfnovemberstraat,wikidata,,Q2987,way
Erwtenstraat,wikidata,,Q25237,way
Esmoreitlaan,wikidata,,Q2182998,way
Essenstraat,wikidata,,Q724283,way
Euterpestraat,wikidata,,Q104012,way
Falconplein,wikidata,,Q2407626,way
Falconpoort,wikidata,,Q2407626,way
Falconrui,wikidata,,Q2407626,way
Frankrijklei,wikidata,,Q142,way
Fuggerstraat,wikidata,,Q155834,way
Galgenweellaan,wikidata,,Q1966725,way
Galjoenstraat,wikidata,,Q181469,way
Gaspeldoornstraat,wikidata,,Q161794,way
Gentplaats,wikidata,,Q1296,way
Genuastraat,wikidata,,Q1449,way
Geraniumstraat,wikidata,,Q157211,way
Glasgowstraat,wikidata,,Q4093,way
Gloriantlaan,wikidata,,Q2251982,way
Goedendagstraat,wikidata,,Q1371963,way
Goteborgweg,wikidata,,Q25287,way
Goudbloemstraat,wikidata,,Q145930,way
Granaatstraat,wikidata,,Q105368,way
Grimsbystraat,wikidata,,Q179406,way
Groenkerkhofstraat,wikidata,,Q58329790,way
"Grote Beer Straat",wikidata,,Q8918,way
Grotehondstraat,wikidata,,Q10538,way
Guldensporenstraat,wikidata,,Q44732,way
Haïfastraat,wikidata,,Q41621,way
Halewijnlaan,wikidata,,Q5698050,way
Halfmaanpleintje,wikidata,,Q14936604,way
Hamburgstraat,wikidata,,Q1055,way
Handschoenmarkt,wikidata,,Q169031,way
Hanzestedenplaats,wikidata,,Q707813,way
Havanastraat,wikidata,,Q1563,way
Haviklaan,wikidata,,Q25353,way
"Heilige Geeststraat",wikidata,,Q37302,way
Helsinkistraat,wikidata,,Q1757,way
Herculusstraat,wikidata,,Q122248,way
Herentalsebaan,wikidata,,Q383723,way
